Area,Room,Supply,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Date,Month
Others,4419,132570,67066,0.51,3329.44,223292549,208581213,495335200,1684.34,6/1/2020,20-Jun
Scenery,2862,85860,54467,0.63,5269.34,287005127,115118006,453731429,3342.71,6/1/2020,20-Jun
Taichung,1484,44520,19922,0.45,2412,48051899,69481933,139444700,1079.33,6/1/2020,20-Jun
Taipei,11259,337770,66712,0.2,2904.82,193786199,785011630,1175745060,573.72,6/1/2020,20-Jun
Taoyuan-Hsinchu-Miaoli,4044,121320,22292,0.18,3047.13,67926662,154632391,246171190,559.9,6/1/2020,20-Jun
Hualien,1286,39866,32243,0.81,3650.16,117692246,62353990,204143862,2952.2,7/1/2020,20-Jul
Kaohsiung,3149,97619,50025,0.51,2633.04,131717699,173486643,335139910,1349.3,7/1/2020,20-Jul
Others,4419,136989,91844,0.67,3851.17,353706854,275413541,711773007,2582.01,7/1/2020,20-Jul
Scenery,2864,88784,63925,0.72,6199.62,396310530,151268451,601660272,4463.76,7/1/2020,20-Jul
Taichung,1484,46004,27361,0.59,2483.28,67944998,79270563,172903374,1476.94,7/1/2020,20-Jul
Taipei,11120,344720,89133,0.26,3022.3,269386399,887936336,1376915761,781.46,7/1/2020,20-Jul
Taoyuan-Hsinchu-Miaoli,3656,113336,36814,0.32,2575.87,94828055,170342903,294276272,836.7,7/1/2020,20-Jul
Hualien,1286,39866,32118,0.81,4267.48,137062922,66571793,230905588,3438.09,8/1/2020,20-Aug
Kaohsiung,3149,97619,57004,0.58,2679.07,152717818,206764439,392481692,1564.43,8/1/2020,20-Aug
Others,4417,136927,98780,0.72,4047.06,399769077,324388745,820554323,2919.58,8/1/2020,20-Aug
Scenery,2862,88722,62650,0.71,6746.49,422667298,147086356,625079961,4763.95,8/1/2020,20-Aug
Taichung,1484,46004,31307,0.68,2603.6,81510792,94124777,205500215,1771.82,8/1/2020,20-Aug
Taipei,11120,344720,124151,0.36,2833.91,351832812,941810619,1538062825,1020.63,8/1/2020,20-Aug
Taoyuan-Hsinchu-Miaoli,3656,113336,49152,0.43,2896.63,142375214,222014408,413618734,1256.22,8/1/2020,20-Aug
Hualien,1286,38580,27541,0.71,3500.76,96414437,54868005,168435217,2499.08,9/1/2020,20-Sep
Kaohsiung,3149,94470,47843,0.51,2369.21,113350309,185942226,377795249,1199.86,9/1/2020,20-Sep
Others,4420,132600,79687,0.6,3437.2,273899982,270501928,618296308,2065.61,9/1/2020,20-Sep
Scenery,2862,85860,57511,0.67,5260.99,302564815,134861886,482173381,3523.93,9/1/2020,20-Sep
Taichung,1484,44520,28909,0.65,2395.27,69244780,109747270,206479229,1555.36,9/1/2020,20-Sep
Taipei,11120,333600,105409,0.32,3008.76,317150358,1022047703,1541256657,950.69,9/1/2020,20-Sep
Taoyuan-Hsinchu-Miaoli,3656,109680,46312,0.42,2542.11,117730186,205213985,355314369,1073.4,9/1/2020,20-Sep
Hualien,1286,39866,29234,0.73,3654.6,106838555,56312298,184664872,2679.94,10/1/2020,20-Oct
Kaohsiung,3154,97774,56532,0.58,2534.4,143274627,212834117,385153828,1465.37,10/1/2020,20-Oct
Others,4420,137020,89621,0.65,3798.3,340407744,299779003,726732792,2484.37,10/1/2020,20-Oct
Scenery,2862,88722,63610,0.72,5856.39,372525044,149090191,571521760,4198.79,10/1/2020,20-Oct
Taichung,1484,46004,32190,0.7,2563.85,82530390,88950737,199311804,1793.98,10/1/2020,20-Oct
Taipei,11100,344100,122211,0.36,3124.25,381818148,1048135087,1650824173,1109.61,10/1/2020,20-Oct
Taoyuan-Hsinchu-Miaoli,3656,113336,54438,0.48,2987.33,162624227,243725408,448369913,1434.89,10/1/2020,20-Oct
Hualien,1286,38580,23997,0.62,3654.57,87698604,48794223,153881201,2273.16,11/1/2020,20-Nov
Kaohsiung,3149,94470,48328,0.51,2350.62,113600867,187597372,328317411,1202.51,11/1/2020,20-Nov
Others,4432,132960,73472,0.55,3573.02,262517112,255964603,583809332,1974.41,11/1/2020,20-Nov
Scenery,2862,85860,53501,0.62,5638.64,301673063,132320109,476517418,3513.55,11/1/2020,20-Nov
Taichung,1484,44520,24286,0.55,2436.1,59163112,85998973,169970488,1328.91,11/1/2020,20-Nov
Taipei,11099,332970,92373,0.28,3215.87,297059439,1004519784,1513108086,892.15,11/1/2020,20-Nov
Taoyuan-Hsinchu-Miaoli,3656,109680,43444,0.4,2915.29,126652055,205311641,365531607,1154.74,11/1/2020,20-Nov
Hualien,1287,39897,18828,0.47,3956.79,74498454,48538090,139471318,1867.27,12/1/2020,20-Dec
Kaohsiung,3149,97619,49870,0.51,2646.54,131982967,237168576,401156540,1352.02,12/1/2020,20-Dec
Others,4432,137392,75079,0.55,3822.37,286979864,275397212,632187876,2088.77,12/1/2020,20-Dec
Scenery,2862,88722,53207,0.6,5890.22,313400883,145632693,503984025,3532.39,12/1/2020,20-Dec
Taichung,1484,46004,25051,0.54,2471.27,61907670,97533683,186519692,1345.7,12/1/2020,20-Dec
Taipei,11055,342705,128752,0.38,3534.55,455081004,1259684310,1973970596,1327.91,12/1/2020,20-Dec
Taoyuan-Hsinchu-Miaoli,3656,113336,40392,0.36,3392.4,137025713,246272696,416825088,1209.02,12/1/2020,20-Dec
