Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
台北有園飯店,Taipei,56,1680,0.94,2723.00,4296365,319045,4735319,2557.71,1578,2019-11-30
長榮桂冠酒店(基隆),Others,140,4340,0.77,3112.89,10437522,6555719,20292003,2404.96,3353,2019-08-31
蘭城晶英酒店,Others,193,5790,0.68,8620.01,34023173,31215886,73201468,5876.20,3947,2019-09-30
太魯閣晶英酒店,Scenery,160,4960,0.77,8635.36,32969805,10425152,48594944,6647.14,3818,2019-07-31
雲品溫泉酒店日月潭,Scenery,211,6330,0.67,7843.11,33435171,20973780,58381635,5282.02,4263,2019-09-30
台南大飯店,Others,152,4560,0.61,2049.37,5736199,8709782,15611565,1257.94,2799,2019-06-30
國聯⼤飯店,Taipei,243,7533,0.66,2484.00,12407581,1666119,15583523,1646.64,4994,2019-03-31
台北有園飯店,Taipei,56,1736,0.81,2497.00,3521263,272015,3900813,2028.06,1410,2019-01-31
兄弟大飯店,Taipei,250,7500,0.60,3384.81,15258725,38387688,57830409,2034.50,4508,2019-06-30
福容大飯店 高雄,Kaohsiung,250,7500,0.74,1573.36,8683361,4991636,13694549,1157.78,5519,2019-06-30
大億麗緻酒店,Others,315,9450,0.68,3015.19,19381629,23467812,47891216,2050.97,6428,2019-06-30
北投麗禧溫泉酒店,Taipei,66,1980,0.72,13327.00,19030346,8862749,32035209,9611.43,1428,2019-04-30
墾丁怡灣渡假酒店,Scenery,240,7200,0.26,2865.13,5317684,1122143,6546496,738.57,1856,2019-09-30
凱撒⼤飯店,Scenery,281,8711,0.90,3388.00,26540103,11853409,40290014,3046.49,7833,2019-03-31
台南大員皇冠假日酒店,Others,231,7161,0.55,3136.55,12270200,14564048,29514143,1713.48,3912,2019-08-31
慶泰大飯店,Taipei,150,4650,0.84,2670.07,10405278,5241407,16320227,2237.69,3897,2019-08-31
天成大飯店,Taipei,225,6975,0.98,3054.10,20810645,18077065,40920883,2983.61,6814,2019-08-31
山泉大飯店,Others,146,4526,0.86,1983.15,7470514,1215165,9142820,1705.60,3767,2019-12-31
麒麟⼤飯店,Others,167,5010,0.47,4126.00,9744848,3357169,13362841,1945.41,2362,2019-11-30
娜路彎⼤酒店,Others,276,7728,0.56,5590.00,24321330,12605468,41256107,3147.17,4351,2019-02-28
福華大飯店,Taipei,606,18786,0.82,3964.91,58756000,48882000,127475000,3231.90,14819,2019-12-31
豪景大酒店,Taipei,209,6479,0.78,2200.13,11161243,645315,12097899,1722.68,5073,2019-08-31
蘭城晶英酒店,Others,193,5983,0.70,9075.63,38271916,33874555,80685249,6396.78,4217,2019-10-31
美侖⼤飯店,Hualien,343,10290,0.68,2040.00,14173403,8779654,23627436,1377.41,6948,2019-04-30
福容⼤飯店淡⽔漁⼈碼頭,Others,198,5544,0.40,5542.00,12413441,16610076,31352008,2238.97,2240,2019-02-28
台中金典酒店,Taichung,222,6882,0.78,3037.30,16228283,18726129,49656309,2358.08,5343,2019-08-31
大億麗緻酒店,Others,315,9450,0.63,2702.06,16004301,18479732,38601851,1693.58,5923,2019-09-30
國王大飯店,Taipei,97,2910,0.68,1560.49,3071048,808863,3935876,1055.34,1968,2019-06-30
馥藝⾦鬱⾦香酒店,Taoyuan-Hsinchu-Miaoli,191,5921,0.55,2052.00,6652342,3393372,10291876,1123.47,3242,2019-01-31
