Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
台南⼤飯店,Others,152,4712,0.52,2053.45,5014523,9185166,15594445,1064.2,2442,8/1/2019
台東桂⽥喜來登酒店,Others,278,8618,0.55,3119.4,14654944,13028838,28406123,1700.5,4698,8/1/2019
台糖⻑榮酒店(台南),Others,197,6107,0.75,2755.01,12604161,17942375,31701210,2063.89,4575,8/1/2019
合尊酒店 S Hotel,Taipei,101,3131,0.73,3552.76,8132258,3925153,13306615,2597.34,2289,8/1/2019
名都觀光渡假大飯店,Scenery,97,3007,0.65,1065.96,2097800,3645340,5826254,697.64,1968,8/1/2019
和昇帝景飯店,Others,60,1860,0.4,2377.17,1775744,2760,1778504,954.7,747,8/1/2019
國王大飯店,Taipei,97,3007,0.81,1490.81,3631602,1070762,4755767,1207.72,2436,8/1/2019
國聯⼤飯店,Taipei,243,7533,0.69,2104.83,10888273,1560000,13764628,1445.41,5173,8/1/2019
國賓大飯店,Taipei,316,9796,0.67,3592.23,23543462,76361810,105744478,2403.38,6554,8/1/2019
圓山大飯店,Taipei,500,15500,0.84,3946.88,51348947,59346684,122192902,3312.84,13010,8/1/2019
墾丁怡灣渡假酒店,Scenery,236,7316,0.46,3043.28,10347163,251500,10861653,1414.32,3400,8/1/2019
墾丁福華渡假飯店,Scenery,458,14198,0.75,4239.03,44980387,12449226,59107813,3168.08,10611,8/1/2019
大億麗緻酒店,Others,315,9765,0.63,3163.59,19459234,27618128,53192191,1992.75,6151,8/1/2019
大板根渡假酒店,Others,95,2945,0.85,4716,11794720,13190321,41240539,4005,2501,8/1/2019
天成大飯店,Taipei,225,6975,0.98,3054.1,20810645,18077065,40920883,2983.61,6814,8/1/2019
太魯閣晶英酒店,Scenery,160,4960,0.71,8617.59,30239123,9136145,44048127,6096.6,3509,8/1/2019
娜路彎⼤酒店,Others,276,8556,0.7,3969.91,23878994,14243020,45434269,2790.91,6015,8/1/2019
寒舍艾麗酒店,Taipei,235,7285,0.8,6275.29,36497108,14541734,56546095,5009.9,5816,8/1/2019
寒軒國際大飯店,Kaohsiung,380,11780,0.73,1885.13,16106570,14698223,31871052,1367.28,8544,8/1/2019
